slug	name	wikidataId
adam-roberts	Adam Roberts	
adam-thirlwell	Adam Thirlwell	
ahdaf-soueif	Ahdaf Soueif	
aida-edemariam	Aida Edemariam	
alain-mabanckou	Alain Mabanckou	
alberto-manguel	Alberto Manguel	
alex-clark	Alex Clark	
alex-needham	Alex Needham	
alexandra-harris	Alexandra Harris	
ali-smith	Ali Smith	
amanda-craig	Amanda Craig	
amit-chaudhuri	Amit Chaudhuri	
andrew-solomon	Andrew Solomon	
anne-enright	Anne Enright	
arifa-akbar	Arifa Akbar	
beejay-silcox	Beejay Silcox	
ben-markovits	Ben Markovits	
ben-okri	Ben Okri	
benjamin-myers	Benjamin Myers	
bernardine-evaristo	Bernardine Evaristo	
blake-morrison	Blake Morrison	
candice-carty-williams	Candice Carty Williams	
catherine-taylor	Catherine Taylor	
charlotte-higgins	Charlotte Higgins	
charlotte-mendelson	Charlotte Mendelson	
charlotte-northedge	Charlotte Northedge	
chigozie-obioma	Chigozie Obioma	
chloe-aridjis	Chloe Aridjis	
chris-power	Chris Power	
christobel-kent	Christobel Kent	
claire-armitstead	Claire Armitstead	
claire-messud	Claire Messud	
clare-clark	Clare Clark	
colm-toibin	Colm Tóibín	
colum-mccann	Colum McCann	
daisy-johnson	Daisy Johnson	
damian-barr	Damian Barr	
daniel-kehlmann	Daniel Kehlmann	
david-diop	David Diop	
david-nicholls	David Nicholls	
david-shariatmadari	David Shariatmadari	
derek-owusu	Derek Owusu	
diana-evans	Diana Evans	
dinah-birch	Dinah Birch	
doireann-ni-ghriofa	Doireann Ní Ghríofa	
dorian-lynskey	Dorian Lynskey	
douglas-stuart	Douglas Stuart	
eimear-mcbride	Eimear McBride	
elif-batuman	Elif Batuman	
elif-shafak	Elif Shafak	
elizabeth-day	Elizabeth Day	
ella-creamer	Ella Creamer	
emma-loffhagen	Emma Loffhagen	
esi-edugyan	Esi Edugyan	
fiona-sampson	Fiona Sampson	
fiona-sturges	Fiona Sturges	
florence-knapp	Florence Knapp	
freya-johnston	Freya Johnston	
geoff-dyer	Geoff Dyer	
guy-gunaratne	Guy Gunaratne	
hermione-lee	Hermione Lee	
houman-barekat	Houman Barekat	
ian-mcewan	Ian McEwan	
ian-patterson	Ian Patterson	
ian-rankin	Ian Rankin	
imogen-russell-williams	Imogen Russell Williams	
jack-edwards	Jack Edwards	
jacqueline-rose	Jacqueline Rose	
james-meek	James Meek	
jan-carson	Jan Carson	
jeet-thayil	Jeet Thayil	
jem-calder	Jem Calder	
jennifer-egan	Jennifer Egan	
jo-hamya	Jo Hamya	
joanne-harris	Joanne Harris	
joe-dunthorne	Joe Dunthorne	
john-boyne	John Boyne	
john-lanchester	John Lanchester	
john-mullan	John Mullan	
john-self	John Self	
jon-day	Jon Day	
joshua-cohen	Joshua Cohen	
juan-gabriel-vasquez	Juan Gabriel Vasquez	
jude-cook	Jude Cook	
julie-myerson	Julie Myerson	
justine-jordan	Justine Jordan	
kate-mosse	Kate Mosse	
katharine-viner	Katharine Viner	
katherine-rundell	Katherine Rundell	
kathryn-hughes	Kathryn Hughes	
kevin-power	Kevin Power	
kieran-goddard	Kieran Goddard	
kit-de-waal	Kit de Waal	
lara-feigel	Lara Feigel	
laura-wilson	Laura Wilson	
lauren-elkin	Lauren Elkin	
liese-spencer	Liese Spencer	
lily-king	Lily King	
lisa-allardice	Lisa Allardice	
lisa-tuttle	Lisa Tuttle	
lorrie-moore	Lorrie Moore	
lucas-rijneveld	Lucas Rijneveld	
lucy-knight	Lucy Knight	
m-john-harrison	M. John Harrison	
maaza-mengiste	Maaza Mengiste	
