voterSlug	position	author	work	openLibraryId
adam-roberts	1	J.R.R. Tolkien	The Lord of the Rings	OL27448W
adam-roberts	2	George Eliot	Middlemarch	OL25411286W
adam-roberts	3	Chinua Achebe	Things Fall Apart	OL891786W
adam-roberts	4	Ursula K. Le Guin	Earthsea	OL59794W
adam-roberts	5	Vladimir Nabokov	Pnin	OL44820011W
adam-roberts	6	Charles Dickens	Bleak House	OL14868510W
adam-roberts	7	Walter Scott	The Heart of Midlothian	OL863735W
adam-roberts	8	H. G. Wells	The War of the Worlds	OL52114W
adam-roberts	9	Toni Morrison	Beloved	OL50548W
adam-roberts	10	Christopher Priest	The Inverted World	OL166496W
adam-thirlwell	1	Leo Tolstoy	War and Peace	OL36765642W
adam-thirlwell	2	Marcel Proust	In Search of Lost Time	OL1190289W
adam-thirlwell	3	Robert Musil	The Man Without Qualities	OL1330246W
adam-thirlwell	4	Laurence Sterne	The Life and Opinions of Tristram Shandy, Gentleman	OL679230W
adam-thirlwell	5	Virginia Woolf	Orlando	OL39360W
adam-thirlwell	6	Bohumil Hrabal	I Served the King of England	OL847902W
adam-thirlwell	7	Franz Kafka	The Trial	OL498463W
adam-thirlwell	8	Gertrude Stein	The Autobiography of Alice B. Toklas	OL37277W
adam-thirlwell	9	Georges Perec	Life, a User's Manual	OL1715276W
adam-thirlwell	10	Colette	Chéri	OL1184871W
ahdaf-soueif	1	George Eliot	Middlemarch	OL25411286W
ahdaf-soueif	2	Leo Tolstoy	Anna Karenina	OL267096W
ahdaf-soueif	3	Giuseppe Tomasi di Lampedusa	The Leopard	OL43043476W
ahdaf-soueif	4	Laurence Sterne	A Sentimental Journey	OL41597565W
ahdaf-soueif	5	Álvaro Enrigue	Sudden Death	OL16821748W
ahdaf-soueif	6	Charles Dickens	Great Expectations	OL8721462W
ahdaf-soueif	7	Jane Austen	Pride and Prejudice	OL66554W
ahdaf-soueif	8	J. D. Salinger	The Catcher in the Rye	OL3335245W
ahdaf-soueif	9	Ernest Hemingway	A Farewell to Arms	OL63072W
ahdaf-soueif	10	Gabriel García Márquez	One Hundred Years of Solitude	OL274505W
aida-edemariam	1	George Eliot	Middlemarch	OL25411286W
aida-edemariam	2	F Scott Fitzgerald	The Great Gatsby	OL468431W
aida-edemariam	3	L. P. Hartley	The Go-Between	OL2047674W
aida-edemariam	4	Jane Austen	Emma	OL66513W
aida-edemariam	5	Toni Morrison	Beloved	OL50548W
aida-edemariam	6	Virginia Woolf	Mrs Dalloway	OL39349W
aida-edemariam	7	James Baldwin	If Beale Street Could Talk	OL228720W
aida-edemariam	8	Alice Munro	Lives of Girls and Women	OL931688W
aida-edemariam	9	Colette	The Vagabond	OL1184856W
aida-edemariam	10	VS Naipaul	A House for Mr Biswas	OL103113W
alain-mabanckou	1	Chinua Achebe	Things Fall Apart	OL891786W
alain-mabanckou	2	Amos Tutuola	Palm-Wine Drinkard	OL3942386W
alain-mabanckou	3	Bohumil Hrabal	Too Loud a Solitude	OL11728724W
alain-mabanckou	4	Juan Rulfo	Pedro Páramo	OL1731119W
alain-mabanckou	5	Franz Kafka	The Trial	OL498463W
