author	work
A. S. Byatt	Possession
A. S. Byatt	Still Life
Abdulrazak Gurnah	Afterlives
Abdulrazak Gurnah	By the Sea
Abdulrazak Gurnah	Paradise
Adania Shibli	Minor Detail
Agatha Christie	And Then There Were None
Agatha Christie	Sleeping Murder
Agatha Christie	The Murder of Roger Ackroyd
Ahmadou Kourouma	Allah Is Not Obliged
Ahmet Hamdi Tanpınar	A Mind at Peace
Akhil Sharma	Family Life
Akwaeke Emezi	Freshwater
Alan Burns	Europe After the Rain
Alan Hollinghurst	The Line of Beauty
Alan Hollinghurst	The Swimming-Pool Library
Alan Moore	Watchmen
Alan Paton	Cry, the Beloved Country
Alan Warner	Morvern Callar
Alasdair Gray	Lanark
Albert Camus	The Outsider
Albert Camus	The Plague
Alberto Moravia	Boredom
Aldous Huxley	Point Counter Point
Alessandro Manzoni	The Betrothed
Alexander Pushkin	Eugene Onegin
Alexandre Dumas	The Count of Monte Cristo
Alexis Wright	Praiseworthy
Alfred Döblin	Berlin Alexanderplatz
Ali Smith	How to Be Both
Alice Munro	Lives of Girls and Women
Alice Walker	Possessing the Secret of Joy
Alice Walker	The Color Purple
Alison Bechdel	Fun Home
Amos Tutuola	Palm-Wine Drinkard
Anders Nilsen	Tongues I
Andrea Levy	Small Island
Angela Carter	Nights at the Circus
Angela Carter	The Magic Toyshop
Angela Carter	Wise Children
Anita Brookner	Family and Friends
Anita Brookner	Hotel Du Lac
Anita Brookner	Latecomers
Anita Brookner	Strangers
Ann Patchett	Commonwealth
Ann Patchett	Tom Lake
Ann Petry	The Street
Anna Burns	Milkman
Anna Kavan	Ice
Anne Brontë	The Tenant of Wildfell Hall
Anne Enright	The Gathering
Anne Enright	The Green Road
Annie Ernaux	The Years
Annie Proulx	The Shipping News
Anonymous	One Thousand and One Nights
Anonymous	Rig Veda
Antal Szerb	Journey by Moonlight
Anthony Powell	A Dance to the Music of Time
Anthony Trollope	Barchester Towers
Anthony Trollope	The Palliser Novels
Anthony Trollope	The Way We Live Now
Antonia Barber	The Amazing Mr Blunden
Armistead Maupin	Tales of the City
Art Spiegelman	Maus
Arthur Conan Doyle	The Valley of Fear
Arundhati Roy	The God of Small Things
Audre Lorde	Sister Outsider
Barbara Comyns	Who Was Changed and Who Was Dead
Barbara Kingsolver	Demon Copperhead
Barbara Kingsolver	The Poisonwood Bible
Barbara Pym	Quartet in Autumn
Barry Hines	A Kestrel for a Knave
Becky Chambers	To Be Taught, If Fortunate
Ben Okri	The Famished Road
Benedict Kiely	Proxopera
Benjamín Labatut	The Maniac
Bernard Malamud	A New Life
Bernardine Evaristo	The Emperor's Babe
Beryl Bainbridge	The Birthday Boys
Bessie Head	A Question of Power
Bibhutibhushan Bandopadhyay	Pather Panchali
Bibhutibhushan Bandyopadhyay	Pather Panchali
Birgit Vanderbeke	Mussel Feast
Bohumil Hrabal	I Served the King of England
Bohumil Hrabal	Too Loud a Solitude
Bram Stoker	Dracula
Breandán Ó hEithir	Lead Us Into Temptation
Bret Easton Ellis	American Psycho
Brit Bennett	The Vanishing Half
Buchi Emecheta	The Joys of Motherhood
Caleb Femi	Poor
Cao Xueqin	The Story of the Stone, or the Dream of the Red Chamber
Carson McCullers	The Heart Is a Lonely Hunter
Catherine Newman	We All Want Impossible Things
Charles Dickens	Bleak House
Charles Dickens	David Copperfield
Charles Dickens	Great Expectations
Charles Dickens	Our Mutual Friend
Charles Dickens	Pickwick Papers
Charles Dickens	The Adventures of Oliver Twist
Charlotte Brontë	Jane Eyre
Charlotte Brontë	Villette
Charlotte Perkins Gilman	The Yellow Wallpaper
Chimamanda Ngozi Adichie	Americanah
Chimamanda Ngozi Adichie	Half of a Yellow Sun
China Miéville	The City & the City
Chinua Achebe	Arrow of God
Chinua Achebe	Things Fall Apart
Christa Wolf	A Model Childhood
Christine Brooke-Rose	Textermination
Christopher Priest	The Affirmation
Christopher Priest	The Inverted World
Christos Tsiolkas	The Slap
Claire Keegan	Foster
Claire Keegan	Small Things Like These
Clarice Lispector	The Passion According to G.h.
Claude McKay	Home to Harlem
Claudia Rankine	Citizen
Colette	Chéri
Colette	The Vagabond
Colm Tóibín	Nora Webster
Colson Whitehead	Sag Harbor
Constance Debré	Love Me Tender
Cormac McCarthy	Blood Meridian
Cormac McCarthy	Suttree
Cormac McCarthy	The Road
D. H. Lawrence	Sons and Lovers
D. H. Lawrence	Women in Love
DH Lawrence	The Rainbow
Daniel Defoe	Robinson Crusoe
Daniel Defoe	Roxana
Daniel Keyes	Flowers for Algernon
Daniel Mason	North Woods
Dante Alighieri	The Divine Comedy
Daphne du Maurier	Rebecca
Dashiell Hammett	The Maltese Falcon
David Foster Wallace	Infinite Jest
David Markson	Wittgenstein's Mistress
David Mitchell	Cloud Atlas
Denis Johnson	Tree of Smoke
Derek Walcott	Omeros
Diana Evans	Ordinary People
Diana Wynne Jones	Fire and Hemlock
Dino Buzzati	The Tartar Steppe
Djuna Barnes	Nightwood
Dodie Smith	I Capture the Castle
Don DeLillo	Falling Man
Don DeLillo	Libra
Don DeLillo	The Names
Don DeLillo	Underworld
Don DeLillo	White Noise
Donal Ryan	The Thing About December
Donna Tartt	The Goldfinch
Donna Tartt	The Secret History
Doris Lessing	The Golden Notebook
Doris Lessing	The Grass Is Singing
Douglas Adams	The Hitch Hiker's Guide to the Galaxy
Dylan Thomas	Under Milk Wood
E. B. White	Charlotte's Web
E. L. Doctorow	The Book of Daniel
E. M. Forster	A Passage to India
E. M. Forster	Maurice
EL Doctorow	Ragtime
EM Forster	Howards End
Edgar Allan Poe	The Fall of the House of Usher
Edith Wharton	The Age of Innocence
Edith Wharton	The Custom of the Country
Edith Wharton	The House of Mirth
Edmund White	A Boy's Own Story
Edna O'Brien	The Country Girls
Eduardo Galeano	Memory of Fire
Edward P Jones	The Known World
Edward St Aubyn	The Patrick Melrose Novels
Edward Upward	The Spiral Ascent
Edwidge Danticat	The Dew Breaker
Eimear McBride	A Girl Is a Half-Formed Thing
Eleanor Catton	The Luminaries
Elena Ferrante	My Brilliant Friend
Elena Ferrante	Those Who Leave and Those Who Stay
Elfriede Jelinek	The Piano Teacher
Elizabeth Bowen	Heat of the Day
Elizabeth Bowen	The Death of the Heart
Elizabeth Gaskell	Cranford
Elizabeth Gaskell	North and South
Elizabeth Jane Howard	The Light Years
Elizabeth Jane Howard	The Long View
Elizabeth Jenkins	Dr Gully
Elizabeth Smart	By Grand Central Station I Sat Down and Wept
Elizabeth Taylor	Angel
Elizabeth Taylor	Mrs. Palfrey at the Claremont
Elsa Morante	Arturo's Island
Emily Brontë	Wuthering Heights
Emily St. John Mandel	Station Eleven
Erich Maria Remarque	All Quiet on the Western Front
Ernest Hemingway	A Farewell to Arms
Ernest Hemingway	The Sun Also Rises
Eva Baltasar	Mammoth
Evelyn Waugh	A Handful of Dust
Evelyn Waugh	Brideshead Revisited
Evelyn Waugh	Scoop
Evelyn Waugh	Vile Bodies
F Scott Fitzgerald	The Great Gatsby
F. Scott Fitzgerald	Tender Is the Night
Fernanda Melchor	Hurricane Season
Flann O'Brien	At Swim-Two-Birds
Flann O'Brien	The Third Policeman
Flannery O'Connor	Wise Blood
Ford Madox Ford	Parade's End
Ford Madox Ford	The Good Soldier
Frances Hardinge	The Lie Tree
Francis Spufford	Golden Hill
Frank Norris	McTeague
Franz Kafka	The Castle
Franz Kafka	The Metamorphosis
Franz Kafka	The Trial
Fumiko Enchi	The Waiting Years
Fyodor Dostoevsky	Crime and Punishment
Fyodor Dostoevsky	Demons
Fyodor Dostoevsky	Notes From the Underground
Fyodor Dostoevsky	The Idiot
Fyodor Dostoyevsky	The Brothers Karamazov
G. V. Desani	All About H. Hatterr
Gabriel García Márquez	Chronicle of a Death Foretold
Gabriel García Márquez	Love in the Time of Cholera
Gabriel García Márquez	Of Love and Other Demons
Gabriel García Márquez	One Hundred Years of Solitude
Gabrielle Zevin	Tomorrow, and Tomorrow, and Tomorrow
George Eliot	Daniel Deronda
George Eliot	Middlemarch
George Eliot	Mill on the Floss
George Eliot	Silas Marner
George Orwell	Animal Farm
George Orwell	Nineteen Eighty-Four
George Saunders	Lincoln in the Bardo
George du Maurier	Trilby
Georges Perec	A Void
Georges Perec	Life, a User's Manual
