author	work	wikidataId
A. S. Byatt	Possession	Q428581
A. S. Byatt	Still Life	Q115472295
Abdulrazak Gurnah	Afterlives	Q108830528
Abdulrazak Gurnah	By the Sea	Q108829372
Abdulrazak Gurnah	Paradise	Q20875782
Adania Shibli	Minor Detail	Q110894372
Agatha Christie	And Then There Were None	Q214132
Agatha Christie	Sleeping Murder	Q662997
Agatha Christie	The Murder of Roger Ackroyd	Q224078
Ahmadou Kourouma	Allah Is Not Obliged	Q2837645
Ahmet Hamdi Tanpınar	A Mind at Peace	Q4658280
Akhil Sharma	Family Life	Q25209320
Akwaeke Emezi	Freshwater	Q57315515
Alan Burns	Europe After the Rain	Q139934608
Alan Hollinghurst	The Line of Beauty	Q2448434
Alan Hollinghurst	The Swimming-Pool Library	Q7767674
Alan Moore	Watchmen	Q128444
Alan Paton	Cry, the Beloved Country	Q2916551
Alan Warner	Morvern Callar	Q6915172
Alasdair Gray	Lanark	Q6482902
Albert Camus	The Outsider	Q163297
Albert Camus	The Plague	Q320372
Alberto Moravia	Boredom	Q3203139
Aldous Huxley	Point Counter Point	Q119246
Alessandro Manzoni	The Betrothed	Q28491
Alexander Pushkin	Eugene Onegin	Q50948
Alexandre Dumas	The Count of Monte Cristo	Q191838
Alexis Wright	Praiseworthy	Q124362421
Alfred Döblin	Berlin Alexanderplatz	Q694245
Ali Smith	How to Be Both	Q19364465
Alice Munro	Lives of Girls and Women	Q60675668
Alice Walker	Possessing the Secret of Joy	Q7233383
Alice Walker	The Color Purple	Q1897870
Alison Bechdel	Fun Home	Q428680
Amos Tutuola	Palm-Wine Drinkard	Q774053
Anders Nilsen	Tongues I	Q139961347
Andrea Levy	Small Island	Q1285279
Angela Carter	Nights at the Circus	Q3878871
Angela Carter	The Magic Toyshop	Q3821495
Angela Carter	Wise Children	Q3744835
Anita Brookner	Family and Friends	Q100698459
Anita Brookner	Hotel Du Lac	Q3786968
Anita Brookner	Latecomers	Q100698055
Anita Brookner	Strangers	Q139934421
Ann Patchett	Commonwealth	Q30599050
Ann Patchett	Tom Lake	Q121504933
Ann Petry	The Street	Q7766991
Anna Burns	Milkman	Q57417096
Anna Kavan	Ice	Q48790394
Anne Brontë	The Tenant of Wildfell Hall	Q44701
Anne Enright	The Gathering	Q3824774
Anne Enright	The Green Road	Q29018923
Annie Ernaux	The Years	Q3230588
Annie Proulx	The Shipping News	Q11009630
Anonymous	One Thousand and One Nights	Q8258
Anonymous	Rig Veda	Q727413
Antal Szerb	Journey by Moonlight	Q1400237
Anthony Powell	A Dance to the Music of Time	Q1392936
Anthony Trollope	Barchester Towers	Q4859885
Anthony Trollope	The Palliser Novels	Q7127920
Anthony Trollope	The Way We Live Now	Q7773866
Antonia Barber	The Amazing Mr Blunden	Q7736336
Armistead Maupin	Tales of the City	Q1700501
Art Spiegelman	Maus	Q59696
